timestamp,hour,day_of_week,month,is_weekend,is_semester,is_exam,is_holiday,building_name,consumption_kWh
2022-01-01 00:00:00,0,5,1,1,0,0,1,Edificio Apolonia,3.042494404685719
2022-01-01 01:00:00,1,5,1,1,0,0,1,Edificio Apolonia,3.526388604708198
2022-01-01 02:00:00,2,5,1,1,0,0,1,Edificio Apolonia,3.5815766456258316
2022-01-01 03:00:00,3,5,1,1,0,0,1,Edificio Apolonia,3.4028429492060877
2022-01-01 04:00:00,4,5,1,1,0,0,1,Edificio Apolonia,3.4805205280660423
2022-01-01 05:00:00,5,5,1,1,0,0,1,Edificio Apolonia,3.540397056568215
2022-01-01 06:00:00,6,5,1,1,0,0,1,Edificio Apolonia,3.8696645098239637
2022-01-01 07:00:00,7,5,1,1,0,0,1,Edificio Apolonia,3.190616081165245
2022-01-01 08:00:00,8,5,1,1,0,0,1,Edificio Apolonia,3.62574317533518
2022-01-01 09:00:00,9,5,1,1,0,0,1,Edificio Apolonia,3.307529220616493
2022-01-01 10:00:00,10,5,1,1,0,0,1,Edificio Apolonia,3.4649603171368777
2022-01-01 11:00:00,11,5,1,1,0,0,1,Edificio Apolonia,3.470285074694085
2022-01-01 12:00:00,12,5,1,1,0,0,1,Edificio Apolonia,3.6393139160889736
2022-01-01 13:00:00,13,5,1,1,0,0,1,Edificio Apolonia,3.625593479030246
2022-01-01 14:00:00,14,5,1,1,0,0,1,Edificio Apolonia,3.3497427282463024
2022-01-01 15:00:00,15,5,1,1,0,0,1,Edificio Apolonia,3.5699468479388794
2022-01-01 16:00:00,16,5,1,1,0,0,1,Edificio Apolonia,3.146436753010791
2022-01-01 17:00:00,17,5,1,1,0,0,1,Edificio Apolonia,3.5280733279648584
2022-01-01 18:00:00,18,5,1,1,0,0,1,Edificio Apolonia,3.7477573320510196
2022-01-01 19:00:00,19,5,1,1,0,0,1,Edificio Apolonia,3.4714947273085954
2022-01-01 20:00:00,20,5,1,1,0,0,1,Edificio Apolonia,3.5223581978394205
2022-01-01 21:00:00,21,5,1,1,0,0,1,Edificio Apolonia,3.5685994488581567
2022-01-01 22:00:00,22,5,1,1,0,0,1,Edificio Apolonia,3.2146907554583475
2022-01-01 23:00:00,23,5,1,1,0,0,1,Edificio Apolonia,3.248410000519325
2022-01-02 00:00:00,0,6,1,1,0,0,0,Edificio Apolonia,4.980097844435513
2022-01-02 01:00:00,1,6,1,1,0,0,0,Edificio Apolonia,5.0002892896470215
2022-01-02 02:00:00,2,6,1,1,0,0,0,Edificio Apolonia,4.810946488093267
2022-01-02 03:00:00,3,6,1,1,0,0,0,Edificio Apolonia,5.347119756983528
2022-01-02 04:00:00,4,6,1,1,0,0,0,Edificio Apolonia,4.986419548951052
2022-01-02 05:00:00,5,6,1,1,0,0,0,Edificio Apolonia,5.031924169005303
2022-01-02 06:00:00,6,6,1,1,0,0,0,Edificio Apolonia,4.768320809294034
