timestamp,hour,day_of_week,month,is_weekend,is_semester,is_exam,is_holiday,building_name,consumption_kWh,area_m2
2022-01-01 00:00:00,0,5,1,1,0,0,1,Edificio Apolonia,3.229591622692239,1560
2022-01-01 01:00:00,1,5,1,1,0,0,1,Edificio Apolonia,3.14155899795388,1560
2022-01-01 02:00:00,2,5,1,1,0,0,1,Edificio Apolonia,3.4252685020659013,1560
2022-01-01 03:00:00,3,5,1,1,0,0,1,Edificio Apolonia,3.683371178361384,1560
2022-01-01 04:00:00,4,5,1,1,0,0,1,Edificio Apolonia,3.346139505697015,1560
2022-01-01 05:00:00,5,5,1,1,0,0,1,Edificio Apolonia,3.436440100799169,1560
2022-01-01 06:00:00,6,5,1,1,0,0,1,Edificio Apolonia,3.2860218365546046,1560
2022-01-01 07:00:00,7,5,1,1,0,0,1,Edificio Apolonia,3.2460232667584745,1560
2022-01-01 08:00:00,8,5,1,1,0,0,1,Edificio Apolonia,3.477313056558269,1560
2022-01-01 09:00:00,9,5,1,1,0,0,1,Edificio Apolonia,3.5556495872139786,1560
2022-01-01 10:00:00,10,5,1,1,0,0,1,Edificio Apolonia,3.587345403339511,1560
2022-01-01 11:00:00,11,5,1,1,0,0,1,Edificio Apolonia,3.19057489829395,1560
2022-01-01 12:00:00,12,5,1,1,0,0,1,Edificio Apolonia,3.3385941264279166,1560
2022-01-01 13:00:00,13,5,1,1,0,0,1,Edificio Apolonia,3.507876281361442,1560
2022-01-01 14:00:00,14,5,1,1,0,0,1,Edificio Apolonia,3.5372093223042165,1560
2022-01-01 15:00:00,15,5,1,1,0,0,1,Edificio Apolonia,3.266652375278342,1560
2022-01-01 16:00:00,16,5,1,1,0,0,1,Edificio Apolonia,3.3040162733461726,1560
2022-01-01 17:00:00,17,5,1,1,0,0,1,Edificio Apolonia,3.441744375415662,1560
2022-01-01 18:00:00,18,5,1,1,0,0,1,Edificio Apolonia,3.4894493606660872,1560
2022-01-01 19:00:00,19,5,1,1,0,0,1,Edificio Apolonia,3.2029192698035076,1560
2022-01-01 20:00:00,20,5,1,1,0,0,1,Edificio Apolonia,3.086776542231454,1560
2022-01-01 21:00:00,21,5,1,1,0,0,1,Edificio Apolonia,3.6201534716934876,1560
2022-01-01 22:00:00,22,5,1,1,0,0,1,Edificio Apolonia,3.4948962113081214,1560
2022-01-01 23:00:00,23,5,1,1,0,0,1,Edificio Apolonia,3.24847692567386,1560
2022-01-02 00:00:00,0,6,1,1,0,0,0,Edificio Apolonia,5.232790145225416,1560
2022-01-02 01:00:00,1,6,1,1,0,0,0,Edificio Apolonia,5.467515067304637,1560
2022-01-02 02:00:00,2,6,1,1,0,0,0,Edificio Apolonia,4.922653079005624,1560
2022-01-02 03:00:00,3,6,1,1,0,0,0,Edificio Apolonia,4.83008521482727,1560
2022-01-02 04:00:00,4,6,1,1,0,0,0,Edificio Apolonia,4.911603963387141,1560
2022-01-02 05:00:00,5,6,1,1,0,0,0,Edificio Apolonia,5.262521146471574,1560
2022-01-02 06:00:00,6,6,1,1,0,0,0,Edificio Apolonia,5.1303630446786945,1560
2022-01-02 07:00:00,7,6,1,1,0,0,0,Edificio Apolonia,5.14889907905296,1560
2022-01-02 08:00:00,8,6,1,1,0,0,0,Edificio Apolonia,5.829387742286925,1560
2022-01-02 09:00:00,9,6,1,1,0,0,0,Edificio Apolonia,6.129568379433723,1560
2022-01-02 10:00:00,10,6,1,1,0,0,0,Edificio Apolonia,6.699633891957928,1560
2022-01-02 11:00:00,11,6,1,1,0,0,0,Edificio Apolonia,6.469100818355606,1560
2022-01-02 12:00:00,12,6,1,1,0,0,0,Edificio Apolonia,6.531322336316532,1560
2022-01-02 13:00:00,13,6,1,1,0,0,0,Edificio Apolonia,6.2602132927083955,1560
2022-01-02 14:00:00,14,6,1,1,0,0,0,Edificio Apolonia,5.741587094580561,1560
2022-01-02 15:00:00,15,6,1,1,0,0,0,Edificio Apolonia,5.932041073216153,1560
2022-01-02 16:00:00,16,6,1,1,0,0,0,Edificio Apolonia,5.847129676758291,1560
2022-01-02 17:00:00,17,6,1,1,0,0,0,Edificio Apolonia,6.027157334313738,1560
2022-01-02 18:00:00,18,6,1,1,0,0,0,Edificio Apolonia,5.4672318677475005,1560
2022-01-02 19:00:00,19,6,1,1,0,0,0,Edificio Apolonia,5.345095736486057,1560
2022-01-02 20:00:00,20,6,1,1,0,0,0,Edificio Apolonia,5.803416295201513,1560
2022-01-02 21:00:00,21,6,1,1,0,0,0,Edificio Apolonia,5.751755678386162,1560
2022-01-02 22:00:00,22,6,1,1,0,0,0,Edificio Apolonia,5.69476486524579,1560
2022-01-02 23:00:00,23,6,1,1,0,0,0,Edificio Apolonia,5.562962421593216,1560
2022-01-03 00:00:00,0,0,1,0,0,0,0,Edificio Apolonia,3.0118150944356006,1560
2022-01-03 01:00:00,1,0,1,0,0,0,0,Edificio Apolonia,2.9812330939892466,1560
2022-01-03 02:00:00,2,0,1,0,0,0,0,Edificio Apolonia,3.027935555543655,1560
2022-01-03 03:00:00,3,0,1,0,0,0,0,Edificio Apolonia,3.253224599750031,1560
2022-01-03 04:00:00,4,0,1,0,0,0,0,Edificio Apolonia,2.9416733197396727,1560
2022-01-03 05:00:00,5,0,1,0,0,0,0,Edificio Apolonia,3.390867622179905,1560
2022-01-03 06:00:00,6,0,1,0,0,0,0,Edificio Apolonia,4.856230212197986,1560
2022-01-03 07:00:00,7,0,1,0,0,0,0,Edificio Apolonia,7.394048003870513,1560
2022-01-03 08:00:00,8,0,1,0,0,0,0,Edificio Apolonia,9.902562476638057,1560
2022-01-03 09:00:00,9,0,1,0,0,0,0,Edificio Apolonia,15.04094939733465,1560
2022-01-03 10:00:00,10,0,1,0,0,0,0,Edificio Apolonia,19.109693545172636,1560
2022-01-03 11:00:00,11,0,1,0,0,0,0,Edificio Apolonia,17.092395001972147,1560
2022-01-03 12:00:00,12,0,1,0,0,0,0,Edificio Apolonia,14.97590424938935,1560
2022-01-03 13:00:00,13,0,1,0,0,0,0,Edificio Apolonia,13.997457780459705,1560
2022-01-03 14:00:00,14,0,1,0,0,0,0,Edificio Apolonia,13.8948101033411,1560
2022-01-03 15:00:00,15,0,1,0,0,0,0,Edificio Apolonia,12.605932486575465,1560
2022-01-03 16:00:00,16,0,1,0,0,0,0,Edificio Apolonia,13.331269649772185,1560
2022-01-03 17:00:00,17,0,1,0,0,0,0,Edificio Apolonia,11.738273568169213,1560
2022-01-03 18:00:00,18,0,1,0,0,0,0,Edificio Apolonia,11.339544719440678,1560
2022-01-03 19:00:00,19,0,1,0,0,0,0,Edificio Apolonia,10.82653369441928,1560
2022-01-03 20:00:00,20,0,1,0,0,0,0,Edificio Apolonia,9.415812221485323,1560
2022-01-03 21:00:00,21,0,1,0,0,0,0,Edificio Apolonia,8.37253979674187,1560
2022-01-03 22:00:00,22,0,1,0,0,0,0,Edificio Apolonia,6.341560531017165,1560
2022-01-03 23:00:00,23,0,1,0,0,0,0,Edificio Apolonia,4.0270653475035605,1560
2022-01-04 00:00:00,0,1,1,0,0,0,0,Edificio Apolonia,3.115474087513815,1560
2022-01-04 01:00:00,1,1,1,0,0,0,0,Edificio Apolonia,3.024881523449681,1560
2022-01-04 02:00:00,2,1,1,0,0,0,0,Edificio Apolonia,3.1454447176304705,1560
2022-01-04 03:00:00,3,1,1,0,0,0,0,Edificio Apolonia,3.2704153975120804,1560
2022-01-04 04:00:00,4,1,1,0,0,0,0,Edificio Apolonia,3.4222455852241875,1560
